video_name,current_frame,next_frame,forward_flow,mask,ref1,ref2,ref3,ref4,ref5
bear,00000.jpg,00001.jpg,forward_00000.jpg_to_00001.jpg.flo,mask_00000.jpg_to_00001.jpg.pgm,n02132136/n02132136_12096.JPEG,n02132136/n02132136_2461.JPEG,n02132136/n02132136_21885.JPEG,n02132136/n02132136_9656.JPEG,n02132136/n02132136_22387.JPEG
bear,00001.jpg,00002.jpg,forward_00001.jpg_to_00002.jpg.flo,mask_00001.jpg_to_00002.jpg.pgm,n02132136/n02132136_12096.JPEG,n02132136/n02132136_21885.JPEG,n02132136/n02132136_2461.JPEG,n02132136/n02132136_9656.JPEG,n02132136/n02132136_22387.JPEG
bear,00002.jpg,00003.jpg,forward_00002.jpg_to_00003.jpg.flo,mask_00002.jpg_to_00003.jpg.pgm,n02132136/n02132136_12096.JPEG,n02132136/n02132136_21885.JPEG,n02132136/n02132136_2461.JPEG,n02132136/n02132136_9656.JPEG,n02132136/n02132136_35258.JPEG
bear,00003.jpg,00004.jpg,forward_00003.jpg_to_00004.jpg.flo,mask_00003.jpg_to_00004.jpg.pgm,n02132136/n02132136_12096.JPEG,n02132136/n02132136_2461.JPEG,n02132136/n02132136_21885.JPEG,n02132136/n02132136_3971.JPEG,n02132136/n02132136_35258.JPEG
bear,00004.jpg,00005.jpg,forward_00004.jpg_to_00005.jpg.flo,mask_00004.jpg_to_00005.jpg.pgm,n02132136/n02132136_2461.JPEG,n02132136/n02132136_12096.JPEG,n02132136/n02132136_21885.JPEG,n02132136/n02132136_3971.JPEG,n02132136/n02132136_35258.JPEG
bear,00005.jpg,00006.jpg,forward_00005.jpg_to_00006.jpg.flo,mask_00005.jpg_to_00006.jpg.pgm,n02132136/n02132136_2461.JPEG,n02132136/n02132136_21885.JPEG,n02132136/n02132136_12096.JPEG,n02132136/n02132136_3971.JPEG,n02132136/n02132136_1467.JPEG
bear,00006.jpg,00007.jpg,forward_00006.jpg_to_00007.jpg.flo,mask_00006.jpg_to_00007.jpg.pgm,n02132136/n02132136_2461.JPEG,n02132136/n02132136_12096.JPEG,n02132136/n02132136_21885.JPEG,n02132136/n02132136_1467.JPEG,n02132136/n02132136_1532.JPEG
bear,00007.jpg,00008.jpg,forward_00007.jpg_to_00008.jpg.flo,mask_00007.jpg_to_00008.jpg.pgm,n02132136/n02132136_2461.JPEG,n02132136/n02132136_1467.JPEG,n02132136/n02132136_21885.JPEG,n02132136/n02132136_12096.JPEG,n02132136/n02132136_332.JPEG
bear,00008.jpg,00009.jpg,forward_00008.jpg_to_00009.jpg.flo,mask_00008.jpg_to_00009.jpg.pgm,n02132136/n02132136_2461.JPEG,n02132136/n02132136_1467.JPEG,n02132136/n02132136_12096.JPEG,n02132136/n02132136_3971.JPEG,n02132136/n02132136_21885.JPEG
bear,00009.jpg,00010.jpg,forward_00009.jpg_to_00010.jpg.flo,mask_00009.jpg_to_00010.jpg.pgm,n02132136/n02132136_2461.JPEG,n02132136/n02132136_1467.JPEG,n02132136/n02132136_12096.JPEG,n02132136/n02132136_3971.JPEG,n02132136/n02132136_1836.JPEG
bear,00010.jpg,00011.jpg,forward_00010.jpg_to_00011.jpg.flo,mask_00010.jpg_to_00011.jpg.pgm,n02132136/n02132136_2461.JPEG,n02132136/n02132136_12096.JPEG,n02132136/n02132136_1467.JPEG,n02132136/n02132136_3971.JPEG,n02132136/n02132136_21885.JPEG
bear,00011.jpg,00012.jpg,forward_00011.jpg_to_00012.jpg.flo,mask_00011.jpg_to_00012.jpg.pgm,n02132136/n02132136_2461.JPEG,n02132136/n02132136_12096.JPEG,n02132136/n02132136_21885.JPEG,n02132136/n02132136_1467.JPEG,n02132136/n02132136_3971.JPEG
bear,00012.jpg,00013.jpg,forward_00012.jpg_to_00013.jpg.flo,mask_00012.jpg_to_00013.jpg.pgm,n02132136/n02132136_12096.JPEG,n02132136/n02132136_2461.JPEG,n02132136/n02132136_1467.JPEG,n02132136/n02132136_3971.JPEG,n02132136/n02132136_21885.JPEG
bear,00013.jpg,00014.jpg,forward_00013.jpg_to_00014.jpg.flo,mask_00013.jpg_to_00014.jpg.pgm,n02132136/n02132136_2461.JPEG,n02132136/n02132136_12096.JPEG,n02132136/n02132136_3971.JPEG,n02132136/n02132136_21885.JPEG,n02132136/n02132136_1467.JPEG
bear,00014.jpg,00015.jpg,forward_00014.jpg_to_00015.jpg.flo,mask_00014.jpg_to_00015.jpg.pgm,n02132136/n02132136_2461.JPEG,n02132136/n02132136_12096.JPEG,n02132136/n02132136_21885.JPEG,n02132136/n02132136_3971.JPEG,n02132136/n02132136_1467.JPEG
